(Sample number262)  iteration number: 512, Error = 0.00179042
(Sample number263)  iteration number: 512, Error = 0.00244913
(Sample number264)  iteration number: 512, Error = 0.00105193
(Sample number265)  iteration number: 512, Error = 0.0041458
(Sample number266)  iteration number: 512, Error = 0.00190738
(Sample number267)  iteration number: 512, Error = 0.0107386
(Sample number268)  iteration number: 512, Error = 0.00256054
(Sample number269)  iteration number: 512, Error = 0.00305283
(Sample number270)  iteration number: 512, Error = 0.00315203
(Sample number271)  iteration number: 187, Error = 0.00099983
(Sample number272)  iteration number: 512, Error = 0.00336708
(Sample number273)  iteration number: 512, Error = 0.00127869
(Sample number274)  iteration number: 512, Error = 0.00124933
(Sample number275)  iteration number: 512, Error = 0.00270616
(Sample number276)  iteration number: 512, Error = 0.0016
(Sample number277)  iteration number: 512, Error = 0.00111216
(Sample number278)  iteration number: 512, Error = 0.00242391
(Sample number279)  iteration number: 512, Error = 0.00330145
(Sample number280)  iteration number: 512, Error = 0.00291857
(Sample number281)  iteration number: 512, Error = 0.00296683
(Sample number282)  iteration number: 512, Error = 0.00105933
(Sample number283)  iteration number: 512, Error = 0.00211187
(Sample number284)  iteration number: 512, Error = 0.00137473
(Sample number285)  iteration number: 512, Error = 0.00319067
(Sample number286)  iteration number: 512, Error = 0.00134182
(Sample number287)  iteration number: 512, Error = 0.00202582
(Sample number288)  iteration number: 512, Error = 0.00183907
(Sample number289)  iteration number: 512, Error = 0.00280875
(Sample number290)  iteration number: 512, Error = 0.00253126
(Sample number291)  iteration number: 1, Error = 0.000656594
(Sample number292)  iteration number: 512, Error = 0.00162137
(Sample number293)  iteration number: 512, Error = 0.00161009
(Sample number294)  iteration number: 512, Error = 0.00238252
(Sample number295)  iteration number: 1, Error = 0.000298248
(Sample number296)  iteration number: 512, Error = 0.00263372
(Sample number297)  iteration number: 512, Error = 0.00163187
(Sample number298)  iteration number: 1, Error = 0.000383893
(Sample number299)  iteration number: 198, Error = 0.000999906
(Sample number300)  iteration number: 512, Error = 0.00186377
(Sample number301)  iteration number: 512, Error = 0.00168916
(Sample number302)  iteration number: 326, Error = 0.0009997
(Sample number303)  iteration number: 512, Error = 0.00133162
(Sample number304)  iteration number: 512, Error = 0.00135318
(Sample number305)  iteration number: 512, Error = 0.00279291
(Sample number306)  iteration number: 512, Error = 0.00261289
(Sample number307)  iteration number: 512, Error = 0.00235513
(Sample number308)  iteration number: 512, Error = 0.00230416
(Sample number309)  iteration number: 512, Error = 0.00257112
(Sample number310)  iteration number: 512, Error = 0.0022126
(Sample number311)  iteration number: 512, Error = 0.00153611
(Sample number312)  iteration number: 512, Error = 0.00129454
(Sample number313)  iteration number: 512, Error = 0.00259578
(Sample number314)  iteration number: 512, Error = 0.00288777
(Sample number315)  iteration number: 512, Error = 0.00149415
(Sample number316)  iteration number: 512, Error = 0.0023965
(Sample number317)  iteration number: 512, Error = 0.00266658
(Sample number318)  iteration number: 512, Error = 0.00277379
(Sample number319)  iteration number: 512, Error = 0.00191382
(Sample number320)  iteration number: 512, Error = 0.00198521
(Sample number321)  iteration number: 512, Error = 0.00229772
(Sample number322)  iteration number: 512, Error = 0.00144915
(Sample number323)  iteration number: 512, Error = 0.00199479
(Sample number324)  iteration number: 512, Error = 0.00247447
(Sample number325)  iteration number: 512, Error = 0.0015917
(Sample number326)  iteration number: 512, Error = 0.0016542
(Sample number327)  iteration number: 218, Error = 0.000999916
(Sample number328)  iteration number: 512, Error = 0.00188981
(Sample number329)  iteration number: 512, Error = 0.004752
(Sample number330)  iteration number: 512, Error = 0.00280342
(Sample number331)  iteration number: 512, Error = 0.00186882
(Sample number332)  iteration number: 512, Error = 0.00120206
(Sample number333)  iteration number: 512, Error = 0.00244741
(Sample number334)  iteration number: 512, Error = 0.00280881
(Sample number335)  iteration number: 512, Error = 0.00241701
(Sample number336)  iteration number: 512, Error = 0.00178314
(Sample number337)  iteration number: 512, Error = 0.00268285
(Sample number338)  iteration number: 512, Error = 0.00149337
(Sample number339)  iteration number: 512, Error = 0.00128661
(Sample number340)  iteration number: 512, Error = 0.0017037
(Sample number341)  iteration number: 512, Error = 0.00390238
(Sample number342)  iteration number: 512, Error = 0.00142459
(Sample number343)  iteration number: 512, Error = 0.00208192
(Sample number344)  iteration number: 512, Error = 0.00310228
(Sample number345)  iteration number: 512, Error = 0.00289628
(Sample number346)  iteration number: 512, Error = 0.00268138
(Sample number347)  iteration number: 512, Error = 0.00238745
(Sample number348)  iteration number: 359, Error = 0.000999122
(Sample number349)  iteration number: 512, Error = 0.00190647
(Sample number350)  iteration number: 360, Error = 0.000999427
(Sample number351)  iteration number: 512, Error = 0.00193443
(Sample number352)  iteration number: 512, Error = 0.00212145
(Sample number353)  iteration number: 512, Error = 0.0017451
(Sample number354)  iteration number: 512, Error = 0.00213087
(Sample number355)  iteration number: 512, Error = 0.00239437
(Sample number356)  iteration number: 512, Error = 0.00237069
(Sample number357)  iteration number: 512, Error = 0.00253583
(Sample number358)  iteration number: 512, Error = 0.00129204
(Sample number359)  iteration number: 512, Error = 0.00112672
(Sample number360)  iteration number: 512, Error = 0.00178691
(Sample number361)  iteration number: 512, Error = 0.00211744
(Sample number362)  iteration number: 512, Error = 0.00130766
(Sample number363)  iteration number: 512, Error = 0.00254329
(Sample number364)  iteration number: 512, Error = 0.00153289
(Sample number365)  iteration number: 512, Error = 0.0022144
